ID,date,transaction_amount
ID_0,2022-10-16,8.625707205275216
ID_0,2022-10-23,6.738763842709604
ID_0,2022-10-30,8.801712004878398
ID_0,2022-11-06,7.44180496021959
ID_0,2022-11-13,6.2048655812162
ID_0,2022-11-20,5.995827138080134
ID_0,2022-11-27,9.456722264907052
ID_0,2022-12-04,8.381005515578847
ID_0,2022-12-11,7.265811974509115
ID_0,2022-12-18,8.19515809958823
ID_0,2022-12-25,4.684545647384732
ID_0,2023-01-01,7.868899190480573
ID_0,2023-01-08,4.63465951945459
ID_0,2023-01-15,6.368292408578775
ID_0,2023-01-22,5.6971399693314515
ID_0,2023-01-29,8.349892884395707
ID_0,2023-02-05,5.819297653122123
ID_0,2023-02-12,7.240961968204069
ID_0,2023-02-19,7.252222856366918
ID_0,2023-02-26,6.862457731003576
ID_0,2023-03-05,7.872195954259929
ID_0,2023-03-12,5.966162679792921
ID_0,2023-03-19,7.745190490348794
ID_0,2023-03-26,6.927875466503144
ID_0,2023-04-02,5.314331855528216
ID_0,2023-04-09,6.15435176935434
ID_0,2023-04-16,7.509191425079367
ID_0,2023-04-23,6.162653535029297
ID_0,2023-04-30,5.5820496561301205
ID_0,2023-05-07,9.682348750161527
ID_1,2022-10-16,8.126075332086659
ID_1,2022-10-23,8.01226965309941
ID_1,2022-10-30,6.119796984351197
ID_1,2022-11-06,6.449121612728284
ID_1,2022-11-13,10.270751475002081
ID_1,2022-11-20,6.435158794516322
ID_1,2022-11-27,9.368858314803564
ID_1,2022-12-04,5.497781465181611
ID_1,2022-12-11,8.131718798211622
ID_1,2022-12-18,8.29023103405677
ID_1,2022-12-25,4.45880379709848
ID_1,2023-01-01,7.794884256975285
ID_1,2023-01-08,8.201823448104323
ID_1,2023-01-15,8.988359322098372
ID_1,2023-01-22,5.085580286570355
ID_1,2023-01-29,9.330038156167063
ID_1,2023-02-05,6.928536039849678
ID_1,2023-02-12,8.500910338807392
ID_1,2023-02-19,10.45529395390086
ID_1,2023-02-26,8.62462550573949
ID_1,2023-03-05,8.376273664697283
ID_1,2023-03-12,6.694859024645706
ID_1,2023-03-19,5.39416628919142
ID_1,2023-03-26,6.714999471433792
ID_1,2023-04-02,4.993495999656565
ID_1,2023-04-09,4.527574164347473
ID_1,2023-04-16,8.588692050106207
ID_1,2023-04-23,5.561556167688139
ID_1,2023-04-30,7.8957178334936975
ID_1,2023-05-07,5.152072414896834
ID_2,2022-10-16,9.660047018461945
ID_2,2022-10-23,7.5836025531060205
ID_2,2022-10-30,10.029053021962579
ID_2,2022-11-06,7.7459713808658845
ID_2,2022-11-13,6.764240936700586
ID_2,2022-11-20,6.181158035684555
ID_2,2022-11-27,9.501092321263393
ID_2,2022-12-04,5.940546333392038
ID_2,2022-12-11,9.17466526917725
ID_2,2022-12-18,5.67851814182675
ID_2,2022-12-25,8.231278041377369
ID_2,2023-01-01,5.6178507626902325
ID_2,2023-01-08,5.805044042926615
ID_2,2023-01-15,5.582242619969135
ID_2,2023-01-22,5.051383484103537
ID_2,2023-01-29,5.245814993841566
ID_2,2023-02-05,10.477569232560814
ID_2,2023-02-12,10.755651670583685
ID_2,2023-02-19,6.032173516016432
ID_2,2023-02-26,8.106798718078698
ID_2,2023-03-05,8.71774163060729
ID_2,2023-03-12,9.133843653241886
ID_2,2023-03-19,9.575332630219426
ID_2,2023-03-26,8.546957050982167
ID_2,2023-04-02,7.357236810167582
ID_2,2023-04-09,7.4313308743782045
ID_2,2023-04-16,5.129972009114967
ID_2,2023-04-23,5.7421156582309525
ID_2,2023-04-30,8.205197016514783
ID_2,2023-05-07,5.630013576892623
ID_3,2022-10-16,7.666539842867159
ID_3,2022-10-23,7.574452466330574
ID_3,2022-10-30,7.307030800601272
ID_3,2022-11-06,7.138720203803057
ID_3,2022-11-13,10.316255547803314
ID_3,2022-11-20,10.287708921968804
ID_3,2022-11-27,6.269379127514596
ID_3,2022-12-04,7.654489787892375
ID_3,2022-12-11,5.42892706563889
ID_3,2022-12-18,6.98124450321045
ID_3,2022-12-25,6.921121339215699
ID_3,2023-01-01,7.843555697214713
ID_3,2023-01-08,8.032417187802288
ID_3,2023-01-15,4.717834414855454
ID_3,2023-01-22,8.351574384211228
ID_3,2023-01-29,8.139150714689993
ID_3,2023-02-05,7.204596844926486
ID_3,2023-02-12,10.484047937840888
ID_3,2023-02-19,7.68078802795051
ID_3,2023-02-26,6.245228240795525
ID_3,2023-03-05,7.534223244369364
ID_3,2023-03-12,9.504454868150097
ID_3,2023-03-19,5.593732915653481
ID_3,2023-03-26,5.393603238844509
ID_3,2023-04-02,5.46410681063943
ID_3,2023-04-09,4.51020266697369
ID_3,2023-04-16,8.923970464692477
ID_3,2023-04-23,6.477356376456924
ID_3,2023-04-30,7.516117723452153
ID_3,2023-05-07,8.116459807176998
ID_4,2022-10-16,7.784642335849239
ID_4,2022-10-23,7.979012935871592
ID_4,2022-10-30,8.311030753081226
ID_4,2022-11-06,6.67890473630068
ID_4,2022-11-13,7.514139229960415
ID_4,2022-11-20,10.2593462790248
ID_4,2022-11-27,9.896718424234939
ID_4,2022-12-04,6.949687713210924
ID_4,2022-12-11,8.903376499451205
ID_4,2022-12-18,4.7327570998215975
ID_4,2022-12-25,8.441304123457472
ID_4,2023-01-01,6.80305781757271
ID_4,2023-01-08,6.602510876900719
ID_4,2023-01-15,9.233138344352858
ID_4,2023-01-22,9.713723856517934
ID_4,2023-01-29,5.6983038927400145
ID_4,2023-02-05,5.9890737484605925
ID_4,2023-02-12,7.312637424577909
ID_4,2023-02-19,9.956504699118849
ID_4,2023-02-26,6.125625898619606
ID_4,2023-03-05,8.748865043515726
ID_4,2023-03-12,7.3455277369671474
ID_4,2023-03-19,8.547232201926258
ID_4,2023-03-26,5.503666923652121
ID_4,2023-04-02,8.211211231448907
ID_4,2023-04-09,4.076293694698591
ID_4,2023-04-16,8.516820182050132
ID_4,2023-04-23,4.29450332699383
ID_4,2023-04-30,4.766628071783548
ID_4,2023-05-07,5.157944435565246
